# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 20 mm
# Rotation step angle: 2.4°
# sensor pos #1: 10 mm
# sensor pos #2: 20 mm
# sensor pos #3: 30 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]
  0.0;   34.711000;   -4.983000;   23.187000;   35.725000;   -1.632100;   25.295000;   35.308000;    0.627780;   26.831000
  2.4;   29.846000;    1.078900;   29.765000;   30.489000;   -0.907280;   28.156000;   29.798000;   -3.866900;   25.901000
  4.8;   24.427000;   -2.695100;   28.203000;   24.791000;   -0.154130;   30.586000;   23.995000;    1.533300;   32.214000
  7.2;   17.892000;    1.976100;   34.107000;   18.871000;    0.615090;   32.462000;   18.835000;   -1.516700;   30.024000
  9.6;   12.700000;   -0.240380;   31.421000;   12.415000;    1.320100;   33.908000;   11.257000;    2.402200;   35.539000
 12.0;    4.673900;    2.777800;   36.362000;    5.968500;    2.106500;   34.784000;    6.537000;    1.050500;   32.288000
 14.4;    0.244420;    2.311100;   32.663000;   -0.639290;    2.838300;   35.136000;   -2.051200;    3.059000;   36.666000
 16.8;   -8.827600;    3.293500;   36.385000;   -7.301300;    3.477600;   34.945000;   -6.121500;    3.532900;   32.511000
 19.2;  -12.278000;    4.662000;   31.905000;  -13.731000;    4.086200;   34.236000;  -15.379000;    3.579500;   35.576000
 21.6;  -21.890000;    3.776700;   34.157000;  -20.239000;    4.521300;   32.969000;  -18.553000;    4.950700;   30.861000
 24.0;  -24.199000;    6.794600;   29.154000;  -26.171000;    5.120600;   31.156000;  -27.858000;    3.977600;   32.223000
 26.4;  -33.522000;    4.112000;   29.774000;  -31.816000;    5.618000;   28.866000;  -29.629000;    7.717600;   27.070000
