# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 20 mm
# Rotation step angle: 2.4°
# sensor pos #1: 10 mm
# sensor pos #2: 20 mm
# sensor pos #3: 30 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]
  0.0;  -42.845000;    8.020800;  -17.408000;  -44.292000;    4.131100;  -19.123000;  -44.143000;    1.434700;  -20.512000
  2.4;  -39.685000;    0.969820;  -24.358000;  -40.068000;    3.511600;  -22.870000;  -38.878000;    7.194100;  -20.922000
  4.8;  -34.484000;    6.197100;  -23.976000;  -35.485000;    1.743900;  -26.036000;  -34.827000;    0.408970;  -27.650000
  7.2;  -29.341000;    0.047138;  -30.574000;  -30.081000;    2.067300;  -28.964000;  -29.486000;    5.068700;  -26.678000
  9.6;  -24.133000;    3.877100;  -28.957000;  -24.396000;    1.340600;  -31.347000;  -23.450000;   -0.393480;  -32.996000
 12.0;  -17.342000;   -0.835590;  -34.879000;  -18.452000;    0.566540;  -33.230000;  -18.503000;    2.650900;  -30.737000
 14.4;  -12.393000;    1.348800;  -32.094000;  -12.009000;   -0.213120;  -34.618000;  -10.719000;   -1.260900;  -36.250000
 16.8;   -4.181100;   -1.643600;  -37.039000;   -5.591800;   -0.957320;  -35.463000;   -6.275100;    0.080745;  -32.924000
 19.2;    0.059685;   -1.190300;  -33.264000;    1.061400;   -1.719100;  -35.753000;    2.546200;   -1.977500;  -37.314000
 21.6;    9.289300;   -2.310200;  -37.009000;    7.669600;   -2.467400;  -35.541000;    6.398800;   -2.431100;  -33.136000
 24.0;   12.511000;   -3.634300;  -32.439000;   14.116000;   -3.003200;  -34.819000;   15.836000;   -2.545800;  -36.150000
