# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 5 mm
# Rotation step angle: 12.000000000000004°
# sensor pos #1: 0 mm
# sensor pos #2: 1 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;  0.0;  -58.577000;   20.549000;    6.163300
 1; 12.0;  -53.350000;   18.182000;  -17.505000
 1; 24.0;  -26.497000;    8.894200;  -34.847000
 1; 36.0;    9.898900;   -3.722700;  -38.963000
 1; 48.0;   43.054000;  -14.633000;  -28.387000
 1; 60.0;   59.041000;  -19.504000;   -6.330100
 1; 72.0;   52.838000;  -16.889000;   17.483000
 1; 84.0;   25.111000;   -7.396300;   34.404000
 1; 96.0;  -11.286000;    5.116800;   37.780000
 1;108.0;  -43.351000;   15.713000;   26.726000
 1;120.0;  -58.004000;   20.326000;    4.857400
 1;132.0;  -51.243000;   17.658000;  -18.330000
 1;144.0;  -24.251000;    8.384900;  -34.564000
 1;156.0;   10.972000;   -3.804900;  -37.752000
 1;168.0;   42.036000;  -14.140000;  -26.960000
 1;180.0;   56.475000;  -18.623000;   -5.714000
 1;192.0;   50.229000;  -15.995000;   16.962000
 1;204.0;   24.213000;   -6.988900;   33.106000
 1;216.0;  -10.165000;    4.872300;   36.593000
 1;228.0;  -41.048000;   15.066000;   26.365000
 1;240.0;  -56.100000;   19.655000;    5.563900
 1;252.0;  -50.783000;   17.277000;  -17.001000
 1;264.0;  -25.492000;    8.470400;  -33.618000
 1;276.0;    9.095400;   -3.481200;  -37.760000
 1;288.0;   40.892000;  -13.942000;  -27.937000
 1;300.0;   56.976000;  -18.842000;   -6.922800
 1;312.0;   52.029000;  -16.511000;   16.179000
 1;324.0;   26.423000;   -7.428800;   33.369000
 1;336.0;   -9.177600;    4.799800;   37.763000
 1;348.0;  -41.927000;   15.542000;   27.718000
 2;  0.0;  -59.578000;   19.957000;    6.148900
 2; 12.0;  -54.205000;   17.602000;  -17.863000
 2; 24.0;  -26.774000;    8.531700;  -35.394000
 2; 36.0;   10.306000;   -3.714900;  -39.456000
 2; 48.0;   43.983000;  -14.245000;  -28.634000
 2; 60.0;   60.061000;  -18.871000;   -6.259100
 2; 72.0;   53.737000;  -16.303000;   17.801000
 2; 84.0;   25.580000;   -7.107700;   34.890000
 2; 96.0;  -11.468000;    5.019400;   38.295000
 2;108.0;  -44.091000;   15.276000;   27.065000
 2;120.0;  -58.992000;   19.743000;    4.906500
 2;132.0;  -52.172000;   17.147000;  -18.586000
 2;144.0;  -24.672000;    8.110500;  -35.053000
 2;156.0;   11.241000;   -3.740700;  -38.227000
 2;168.0;   42.802000;  -13.728000;  -27.272000
 2;180.0;   57.453000;  -18.061000;   -5.730700
 2;192.0;   51.090000;  -15.485000;   17.259000
 2;204.0;   24.642000;   -6.716300;   33.590000
 2;216.0;  -10.370000;    4.812900;   37.090000
 2;228.0;  -41.796000;   14.675000;   26.673000
 2;240.0;  -57.044000;   19.105000;    5.593500
 2;252.0;  -51.651000;   16.764000;  -17.284000
 2;264.0;  -25.894000;    8.179200;  -34.083000
 2;276.0;    9.305800;   -3.412100;  -38.245000
 2;288.0;   41.665000;  -13.558000;  -28.239000
 2;300.0;   57.967000;  -18.274000;   -6.922100
 2;312.0;   52.950000;  -15.974000;   16.462000
 2;324.0;   26.864000;   -7.127800;   33.849000
 2;336.0;   -9.380000;    4.754300;   38.287000
 2;348.0;  -42.687000;   15.135000;   28.095000
