# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 10 mm
# Rotation step angle: 17.999999999999996°
# sensor pos #1: 15 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]
  0.0;  -78.718000;    9.213100;   29.635000
 18.0;  -82.043000;    8.383000;  -23.980000
 36.0;  -17.031000;    0.986620;  -58.826000
 54.0;   57.169000;   -6.715200;  -45.107000
 72.0;   85.294000;   -8.478500;    5.564700
 90.0;   43.825000;   -2.713800;   51.398000
108.0;  -37.165000;    5.616800;   54.400000
126.0;  -85.358000;    9.686600;   10.892000
144.0;  -64.335000;    6.412200;  -41.362000
162.0;    8.128100;   -1.902000;  -59.552000
180.0;   79.533000;   -8.139400;  -30.464000
198.0;   82.774000;   -7.322800;   23.553000
216.0;   17.028000;   -0.109320;   58.267000
234.0;  -57.024000;    7.672100;   44.303000
252.0;  -84.679000;    9.547700;   -6.110600
270.0;  -43.798000;    4.023500;  -51.684000
288.0;   36.781000;   -4.521500;  -54.911000
306.0;   84.976000;   -8.853400;  -11.754000
324.0;   64.481000;   -5.513200;   40.281000
342.0;   -7.856300;    2.856300;   58.669000
360.0;  -78.637000;    9.245200;   29.710000
