# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 20 mm
# Rotation step angle: 2.4°
# sensor pos #1: 10 mm
# sensor pos #2: 20 mm
# sensor pos #3: 30 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]
  0.0;  -34.686000;    8.482700;   24.505000;  -37.033000;    5.990600;   26.025000;  -38.753000;    4.087000;   26.756000
  2.4;  -43.261000;    4.057500;   23.417000;  -41.592000;    6.244900;   22.895000;  -39.110000;    9.202300;   21.610000
  4.8;  -43.040000;    9.756400;   18.229000;  -45.600000;    6.413300;   19.197000;  -47.169000;    4.051100;   19.511000
  7.2;  -50.089000;    3.922300;   15.389000;  -48.654000;    6.500300;   15.300000;  -46.082000;   10.172000;   14.627000
  9.6;  -48.318000;   10.423000;   10.735000;  -50.847000;    6.518600;   11.089000;  -52.127000;    3.745300;   10.979000
 12.0;  -53.307000;    3.521300;    6.400600;  -52.217000;    6.430100;    6.714300;  -49.755000;   10.541000;    6.663000
 14.4;  -50.398000;   10.504000;    2.651600;  -52.790000;    6.291200;    2.420600;  -53.712000;    3.291300;    1.905100
 16.8;  -53.439000;    3.006000;   -2.766600;  -52.655000;    5.995500;   -2.069600;  -50.359000;   10.311000;   -1.523800
 19.2;  -49.663000;   10.004000;   -5.552200;  -51.826000;    5.675100;   -6.406900;  -52.452000;    2.541800;   -7.291300
 21.6;  -50.592000;    2.238600;  -11.857000;  -50.231000;    5.229600;  -10.784000;  -48.222000;    9.510000;   -9.610500
 24.0;  -45.851000;    8.876300;  -13.748000;  -47.591000;    4.724000;  -15.214000;  -47.727000;    1.866000;  -16.459000
