# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 2 mm
# Rotation step angle: 17.999999999999996°
# sensor pos #1: 0 mm
# sensor pos #2: 1 mm
#
# ZPos#; a[°]; X1_magn[mT]; Y1_magn[mT]; Z1_magn[mT]
 1;  0.0;   52.183000;  -16.960000;   43.391000
 1; 18.0;  -25.942000;    8.738500;   53.278000
 1; 36.0;  -87.869000;   27.699000;   18.817000
 1; 54.0;  -78.464000;   24.820000;  -30.789000
 1; 72.0;   -3.557200;    1.851100;  -55.723000
 1; 90.0;   72.589000;  -22.639000;  -37.548000
 1;108.0;   90.099000;  -28.032000;   12.266000
 1;126.0;   35.168000;   -9.848500;   52.531000
 1;144.0;  -52.280000;   17.446000;   47.900000
 1;162.0;  -93.696000;   30.741000;    2.871800
 1;180.0;  -57.100000;   19.719000;  -45.190000
 1;198.0;   26.143000;   -7.940000;  -56.999000
 1;216.0;   94.196000;  -28.477000;  -20.060000
 1;234.0;   81.643000;  -25.024000;   32.840000
 1;252.0;    0.060418;   -0.111180;   56.702000
 1;270.0;  -78.394000;   24.804000;   35.680000
 1;288.0;  -91.404000;   29.275000;  -15.360000
 1;306.0;  -31.161000;   10.634000;  -53.692000
 1;324.0;   52.071000;  -16.176000;  -46.573000
 1;342.0;   88.736000;  -28.219000;   -2.121000
 1;360.0;   52.628000;  -17.152000;   43.156000
 2;  0.0;  -26.485000;    8.441300;   53.966000
 2; 18.0;  -88.831000;   26.463000;   18.953000
 2; 36.0;  -79.235000;   23.683000;  -31.352000
 2; 54.0;   -3.487600;    1.741300;  -56.441000
 2; 72.0;   73.506000;  -21.565000;  -37.980000
 2; 90.0;   91.104000;  -26.694000;   12.492000
 2;108.0;   35.528000;   -9.295500;   53.261000
 2;126.0;  -52.892000;   16.679000;   48.488000
 2;144.0;  -94.550000;   29.259000;    2.790200
 2;162.0;  -57.669000;   18.784000;  -45.831000
 2;180.0;   26.508000;   -7.547900;  -57.723000
 2;198.0;   95.130000;  -27.035000;  -20.166000
 2;216.0;   82.582000;  -23.790000;   33.339000
 2;234.0;    0.113570;   -0.101100;   57.458000
 2;252.0;  -79.270000;   23.631000;   36.132000
 2;270.0;  -92.345000;   27.861000;  -15.708000
 2;288.0;  -31.133000;   10.073000;  -54.502000
 2;306.0;   52.828000;  -15.492000;  -47.034000
 2;324.0;   89.625000;  -26.882000;   -1.977300
 2;342.0;   53.161000;  -16.310000;   43.799000
 2;360.0;  -26.330000;    8.403900;   53.967000
