# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  20
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 20 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 1.0 
# SENSOR_Oe_mT: 0.1 
# working dist: 20 mm
# Rotation step angle: 2.4°
# sensor pos #1: 10 mm
# sensor pos #2: 20 mm
# sensor pos #3: 30 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]
  0.0;   18.750000;   -4.737500;  -31.292000;   20.580000;   -3.603600;  -33.474000;   22.347000;   -2.746100;  -34.709000
  2.4;   28.306000;   -2.894000;  -32.775000;   26.525000;   -4.093500;  -31.707000;   24.467000;   -5.716000;  -29.726000
  4.8;   29.903000;   -6.646000;  -27.595000;   32.173000;   -4.517700;  -29.390000;   33.961000;   -3.003900;  -30.286000
  7.2;   39.139000;   -3.032000;  -27.312000;   37.368000;   -4.924900;  -26.591000;   34.898000;   -7.514100;  -25.037000
  9.6;   39.310000;   -8.193400;  -22.132000;   41.901000;   -5.199200;  -23.429000;   43.660000;   -2.997400;  -23.958000
 12.0;   47.557000;   -2.911000;  -20.038000;   45.913000;   -5.324700;  -19.728000;   43.228000;   -8.704000;  -18.720000
 14.4;   46.230000;   -9.092000;  -15.132000;   48.913000;   -5.419300;  -15.831000;   50.421000;   -2.800100;  -15.937000
 16.8;   52.465000;   -2.616500;  -11.516000;   51.120000;   -5.363900;  -11.636000;   48.458000;   -9.332400;  -11.231000
 19.2;   49.811000;   -9.420000;   -7.216600;   52.442000;   -5.292000;   -7.302500;   53.626000;   -2.414500;   -7.024300
 21.6;   54.033000;   -2.163400;   -2.543400;   52.990000;   -5.112900;   -2.995700;   50.448000;   -9.415700;   -3.224800
 24.0;   50.364000;   -9.208100;    0.934900;   52.844000;   -4.851900;    1.455200;   53.746000;   -1.852200;    2.101000
 26.4;   52.740000;   -1.526000;    6.623400;   51.994000;   -4.600800;    5.779900;   49.715000;   -8.834900;    4.962000
