# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 20 mm
# Rotation step angle: 1.2°
# sensor pos #1: 10 mm
# sensor pos #2: 20 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]
  0.0;   47.413000;   -9.183400;  -13.432000;   50.127000;   -5.375100;  -14.004000
  1.2;   51.094000;   -5.389600;  -11.848000;   48.400000;   -9.289500;  -11.431000
  2.4;   49.181000;   -9.381400;   -9.387700;   51.857000;   -5.348600;   -9.648600
  3.6;   52.445000;   -5.286900;   -7.475700;   49.822000;   -9.377200;   -7.406900
  4.8;   50.221000;   -9.371600;   -5.405800;   52.816000;   -5.195800;   -5.341200
  6.0;   53.018000;   -5.111800;   -3.180500;   50.464000;   -9.336500;   -3.394100
  7.2;   50.536000;   -9.256300;   -1.325800;   53.038000;   -4.984100;   -0.929980
  8.4;   52.902000;   -4.859800;    1.313100;   50.435000;   -9.145000;    0.800940
  9.6;   50.186000;   -9.031500;    2.854500;   52.586000;   -4.713400;    3.513000
 10.8;   52.085000;   -4.545700;    5.651500;   49.735000;   -8.863100;    4.816700
 12.0;   49.100000;   -8.611000;    6.839200;   51.372000;   -4.328400;    7.821100
 13.2;   50.457000;   -4.102500;   10.025000;   48.340000;   -8.305200;    8.881700
 14.4;   47.302000;   -7.994500;   10.931000;   49.314000;   -3.850800;   12.224000
